                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2896,                 4.6708,                 1.7117,                      0,                      0,                      0,                      0,                  1.082,                 4.6453,                 1.8337,              3.332e-05,              3.332e-05,              3.332e-05
                      2,                0.82058,                 4.1658,                 1.2077,                      0,                      0,                      0,                      0,                0.59517,                 3.9024,                0.91152,             7.1164e-05,             7.1164e-05,             7.1164e-05
                      3,                0.66475,                 3.5317,                 1.0905,                0.40784,                      1,                0.78289,                0.60655,                0.59576,                 3.7513,                0.92469,             0.00010876,             0.00010876,             0.00010876
                      4,                0.77434,                 2.7222,                 1.2362,                0.37406,                      1,                0.76533,                0.62737,                0.62427,                 3.4854,                0.96522,              0.0001461,              0.0001461,              0.0001461
                      5,                 0.7529,                 2.2066,                 1.1792,                 0.3461,                      1,                0.79737,                0.62977,                0.70316,                 3.3605,                 1.0512,             0.00018319,             0.00018319,             0.00018319
                      6,                0.74764,                 1.9207,                 1.1447,                0.94046,                    0.5,                0.96942,                0.76389,                0.85936,                 2.7031,                 1.0413,             0.00022003,             0.00022003,             0.00022003
                      7,                0.65932,                 1.7128,                  1.087,                 0.7514,                    0.5,                0.87238,                0.43301,                 1.2941,                 2.9025,                 1.4344,             0.00025662,             0.00025662,             0.00025662
                      8,                0.70313,                 1.5678,                 1.1112,                0.97601,                0.49624,                0.96457,                0.80381,                0.70311,                 2.5482,                0.96595,             0.00029295,             0.00029295,             0.00029295
                      9,                0.64539,                 1.5099,                 1.0768,                0.91172,                0.82476,                0.95629,                0.64249,                 1.1982,                 2.0518,                 1.3744,             0.00032904,             0.00032904,             0.00032904
                     10,                0.55719,                  1.416,                0.98793,                0.84566,                0.82891,                0.94501,                0.67573,                 1.0135,                 2.0409,                 1.2191,             0.00036487,             0.00036487,             0.00036487
                     11,                 0.5641,                 1.2929,                  1.002,                0.71843,                0.75938,                0.89347,                0.51035,                 1.1842,                 2.6664,                  1.397,             0.00040045,             0.00040045,             0.00040045
                     12,                0.55402,                 1.2738,                0.99861,                0.84777,                0.87772,                0.94287,                0.41888,                 1.8108,                 1.9959,                 2.0777,             0.00043579,             0.00043579,             0.00043579
                     13,                0.59585,                 1.2954,                 1.0108,                0.94928,                   0.95,                0.94982,                0.40603,                 1.9899,                 1.7436,                 2.3226,             0.00045715,             0.00045715,             0.00045715
                     14,                0.55077,                 1.1877,                0.98154,                0.94611,                   0.95,                0.94665,                0.44741,                 1.8133,                 1.8406,                 2.0396,             0.00045715,             0.00045715,             0.00045715
                     15,                0.53078,                 1.1678,                0.99395,                0.92383,                  0.925,                0.94476,                0.40272,                  1.834,                  1.879,                 2.0638,             0.00045558,             0.00045558,             0.00045558
                     16,                0.53688,                 1.2137,                0.99598,                 0.4409,                  0.825,                0.52758,                0.18446,                  1.617,                 3.0735,                 1.9355,             0.00045401,             0.00045401,             0.00045401
                     17,                0.55252,                 1.1485,                0.99424,                0.59617,                  0.875,                0.87218,                0.29791,                 1.7656,                 2.3572,                 1.9215,             0.00045244,             0.00045244,             0.00045244
                     18,                0.56643,                  1.187,                0.98689,                0.99708,                0.96402,                0.97617,                0.44744,                  1.794,                 1.4571,                  2.084,             0.00045087,             0.00045087,             0.00045087
                     19,                0.56463,                 1.1823,                0.97146,                0.98778,                  0.975,                0.98852,                0.57416,                 1.5394,                 1.3442,                 1.7751,              0.0004493,              0.0004493,              0.0004493
                     20,                0.52644,                 1.1189,                0.95729,                 0.9731,                0.98712,                0.99262,                0.55596,                 1.5095,                 1.3142,                 1.6579,             0.00044773,             0.00044773,             0.00044773
                     21,                 0.5386,                 1.1539,                0.95155,                0.99672,                0.99222,                  0.995,                0.51873,                 1.5194,                 2.0163,                 1.7261,             0.00044615,             0.00044615,             0.00044615
                     22,                0.51801,                 1.0798,                 0.9714,                0.99444,                0.98287,                  0.995,                0.49745,                 1.8298,                 1.4368,                 2.1459,             0.00044458,             0.00044458,             0.00044458
                     23,                0.56972,                 1.0241,                0.99654,                0.97281,                0.95587,                0.98102,                0.53646,                 1.4351,                 1.3851,                   1.65,             0.00044301,             0.00044301,             0.00044301
                     24,                0.54481,                  1.157,                0.99627,                0.98105,                   0.95,                0.98614,                0.47307,                  1.686,                 1.4338,                 1.9648,             0.00044144,             0.00044144,             0.00044144
                     25,                0.52414,                 1.0718,                0.97004,                0.96264,                 0.9415,                0.96964,                0.46956,                 1.4962,                 2.0294,                  1.823,             0.00043987,             0.00043987,             0.00043987
                     26,                 0.5202,                 1.0808,                0.97439,                0.88823,                 0.9948,                0.96679,                0.58445,                 1.2676,                 1.7158,                 1.5409,              0.0004383,              0.0004383,              0.0004383
                     27,                0.53517,                 1.0285,                 0.9906,                      1,                 0.9688,                0.99273,                 0.6263,                 1.2834,                 1.4796,                 1.4596,             0.00043673,             0.00043673,             0.00043673
                     28,                0.47209,                 1.0093,                0.93966,                0.99834,                0.99917,                  0.995,                0.58351,                 1.5385,                 1.2445,                 1.6549,             0.00043516,             0.00043516,             0.00043516
                     29,                0.47996,                0.94512,                0.91919,                0.97554,                0.96505,                  0.995,                 0.7026,                 1.1027,                 1.1591,                 1.2793,             0.00043359,             0.00043359,             0.00043359
                     30,                0.47165,                  1.003,                0.94084,                0.98991,                0.96832,                  0.995,                0.53509,                 1.5163,                 1.2451,                   1.71,             0.00043202,             0.00043202,             0.00043202
                     31,                0.51098,                 0.9737,                0.95109,                0.98057,                      1,                  0.995,                0.71262,                 1.0766,                 1.1991,                 1.2573,             0.00043045,             0.00043045,             0.00043045
                     32,                0.49169,                0.93128,                0.93918,                0.94648,                      1,                0.98388,                0.85392,                0.63876,                0.74232,                0.95919,             0.00042888,             0.00042888,             0.00042888
                     33,                 0.4673,                0.92505,                0.92994,                0.94381,                      1,                0.97297,                 0.8205,                0.72399,                 0.8316,                 1.0193,             0.00042731,             0.00042731,             0.00042731
                     34,                0.47137,                0.89993,                0.91497,                0.99023,                  0.985,                  0.995,                0.69666,                 1.0569,                 1.0722,                 1.2721,             0.00042573,             0.00042573,             0.00042573
                     35,                 0.5082,                0.89614,                0.94441,                0.97277,                0.99995,                  0.995,                0.79618,                0.84504,                0.98492,                 1.0979,             0.00042416,             0.00042416,             0.00042416
                     36,                0.46453,                0.85082,                0.92117,                0.97808,                      1,                  0.995,                0.77069,                0.85078,                0.94905,                  1.088,             0.00042259,             0.00042259,             0.00042259
                     37,                0.46737,                0.86351,                0.92029,                0.99582,                      1,                  0.995,                0.77422,                0.87441,                0.80446,                  1.097,             0.00042102,             0.00042102,             0.00042102
                     38,                0.48052,                0.85691,                0.94133,                0.99679,                      1,                  0.995,                0.84098,                   0.74,                0.69708,                 1.0231,             0.00041945,             0.00041945,             0.00041945
                     39,                0.47174,                0.80802,                0.91293,                0.93631,                      1,                0.98273,                0.80477,                0.77392,                0.77697,                 1.0363,             0.00041788,             0.00041788,             0.00041788
                     40,                0.49162,                0.84552,                0.94419,                0.93662,                0.99533,                0.96253,                0.80656,                 0.7934,                0.72476,                 1.0281,             0.00041631,             0.00041631,             0.00041631
                     41,                 0.4668,                0.88238,                0.93337,                0.93581,                0.98764,                0.96874,                0.82571,                0.70301,                0.68629,                0.99338,             0.00041474,             0.00041474,             0.00041474
                     42,                0.47414,                0.80812,                0.94167,                 0.9361,                0.97311,                0.99023,                0.82552,                0.75157,                0.78044,                 1.0601,             0.00041317,             0.00041317,             0.00041317
                     43,                0.47018,                0.79639,                0.93665,                0.92927,                      1,                0.99381,                0.79232,                0.89548,                0.70783,                 1.1422,              0.0004116,              0.0004116,              0.0004116
                     44,                0.50377,                0.81728,                0.95341,                0.95577,                      1,                  0.995,                0.81989,                0.81433,                0.64675,                 1.0702,             0.00041003,             0.00041003,             0.00041003
                     45,                0.47425,                0.83371,                 0.9435,                0.95858,                      1,                  0.995,                0.82778,                0.77848,                0.67606,                 1.0541,             0.00040846,             0.00040846,             0.00040846
                     46,                0.43294,                0.74683,                0.90481,                0.95816,                0.99859,                0.99381,                0.84926,                0.67088,                0.60948,                0.98893,             0.00040688,             0.00040688,             0.00040688
                     47,                0.44465,                0.85098,                0.90009,                0.93507,                      1,                0.99381,                0.85086,                0.64318,                0.59048,                0.97592,             0.00040531,             0.00040531,             0.00040531
                     48,                0.45601,                0.75112,                0.92108,                0.93539,                0.97444,                0.98003,                0.84521,                0.65622,                0.71637,                0.97941,             0.00040374,             0.00040374,             0.00040374
                     49,                 0.4815,                0.80557,                0.95947,                0.93599,                0.98198,                0.95864,                0.79612,                 0.7997,                0.77176,                 1.0813,             0.00040217,             0.00040217,             0.00040217
                     50,                0.47567,                0.80249,                0.94567,                0.93588,                      1,                0.97739,                 0.7707,                0.87279,                 0.7754,                 1.1215,              0.0004006,              0.0004006,              0.0004006
                     51,                 0.4745,                0.77377,                0.93874,                0.97008,                0.95254,                  0.995,                 0.7704,                0.92492,                0.77027,                 1.1826,             0.00039903,             0.00039903,             0.00039903
                     52,                0.46306,                0.75999,                0.92214,                0.98459,                0.95052,                  0.995,                0.79916,                0.85195,                0.69696,                 1.1071,             0.00039746,             0.00039746,             0.00039746
                     53,                0.44379,                0.69547,                0.92013,                 0.9673,                0.95103,                0.99381,                0.82046,                0.80481,                0.70382,                 1.0483,             0.00039589,             0.00039589,             0.00039589
                     54,                0.42947,                0.72093,                 0.8961,                0.95294,                0.98846,                0.99143,                0.79861,                0.85842,                0.67058,                 1.0654,             0.00039432,             0.00039432,             0.00039432
                     55,                 0.4548,                0.71888,                0.93147,                0.95613,                0.99775,                0.97714,                0.79237,                0.79021,                0.56816,                 1.0324,             0.00039275,             0.00039275,             0.00039275
                     56,                0.49592,                0.73239,                0.94556,                0.96413,                0.99946,                0.98548,                0.82646,                0.71403,                0.53475,                 1.0005,             0.00039118,             0.00039118,             0.00039118
                     57,                0.46559,                0.71478,                0.93946,                0.95716,                0.99804,                  0.995,                0.78785,                0.84921,                0.57854,                 1.0662,             0.00038961,             0.00038961,             0.00038961
                     58,                0.48182,                0.76684,                0.94394,                0.96293,                0.97708,                0.98071,                0.78246,                0.81497,                0.58476,                 1.0646,             0.00038804,             0.00038804,             0.00038804
                     59,                0.45423,                0.72127,                0.94071,                0.96772,                0.95162,                0.97131,                0.77978,                0.80564,                0.60943,                 1.0411,             0.00038646,             0.00038646,             0.00038646
                     60,                0.40605,                0.65764,                0.90747,                  0.936,                0.97494,                0.97357,                0.78388,                0.81182,                0.61704,                 1.0511,             0.00038489,             0.00038489,             0.00038489
                     61,                 0.4111,                0.67224,                0.89419,                0.94016,                0.99922,                0.98905,                0.79628,                0.80782,                0.62697,                 1.0607,             0.00038332,             0.00038332,             0.00038332
                     62,                0.44141,                0.65444,                0.92383,                0.94933,                0.99699,                0.98786,                0.83898,                0.74324,                0.51974,                 1.0215,             0.00038175,             0.00038175,             0.00038175
                     63,                0.45336,                0.67287,                0.91663,                0.94322,                0.99707,                  0.995,                 0.8496,                0.69715,                0.50103,                0.99307,             0.00038018,             0.00038018,             0.00038018
                     64,                0.46133,                0.68944,                0.95706,                0.97529,                0.95224,                  0.995,                0.84531,                 0.7056,                0.51051,                0.99242,             0.00037861,             0.00037861,             0.00037861
                     65,                0.41498,                0.67851,                0.91525,                0.93635,                0.99488,                0.99381,                0.79206,                0.83451,                0.60846,                 1.1014,             0.00037704,             0.00037704,             0.00037704
                     66,                0.43253,                0.64179,                0.90201,                0.93638,                0.99783,                0.99143,                0.75901,                0.90702,                0.63459,                 1.2122,             0.00037547,             0.00037547,             0.00037547
                     67,                0.43413,                0.68409,                0.91145,                0.93584,                0.98792,                0.99148,                0.77365,                0.87812,                0.64065,                 1.1439,              0.0003739,              0.0003739,              0.0003739
                     68,                0.46526,                0.63554,                0.91949,                0.93586,                0.97463,                0.97898,                0.80336,                0.76741,                0.58181,                 1.0698,             0.00037233,             0.00037233,             0.00037233
                     69,                0.45203,                0.67802,                0.94648,                0.93598,                0.97366,                0.94977,                0.64455,                 1.2119,                0.84697,                 1.3506,             0.00037076,             0.00037076,             0.00037076
                     70,                0.41573,                0.67611,                0.90339,                0.93603,                0.97384,                0.96957,                 0.6488,                 1.2298,                0.83955,                 1.3906,             0.00036919,             0.00036919,             0.00036919
                     71,                0.42711,                0.62903,                0.89669,                 0.9359,                 0.9816,                0.98786,                0.72801,                0.99575,                0.73828,                 1.2057,             0.00036761,             0.00036761,             0.00036761
                     72,                0.45181,                0.62321,                0.93588,                0.93595,                0.99221,                0.98905,                0.73895,                 1.0082,                0.68494,                 1.2236,             0.00036604,             0.00036604,             0.00036604
                     73,                0.47918,                 0.6518,                0.94199,                0.93128,                      1,                0.98651,                0.68439,                 1.1206,                0.67523,                 1.2755,             0.00036447,             0.00036447,             0.00036447
                     74,                0.42189,                0.63588,                0.90284,                0.93729,                      1,                0.99143,                0.67887,                 1.1108,                0.68497,                 1.2717,              0.0003629,              0.0003629,              0.0003629
                     75,                0.39841,                0.59132,                0.88406,                0.94254,                      1,                  0.995,                 0.6669,                 1.0318,                0.65991,                 1.2246,             0.00036133,             0.00036133,             0.00036133
                     76,                0.43329,                0.61422,                0.92188,                0.95738,                 0.9968,                  0.995,                0.68907,                 1.0028,                0.66571,                 1.1905,             0.00035976,             0.00035976,             0.00035976
                     77,                0.41717,                0.58854,                0.90831,                0.97187,                0.97863,                  0.995,                0.81472,                0.75899,                0.48583,                 1.0007,             0.00035819,             0.00035819,             0.00035819
                     78,                0.44435,                0.65906,                0.94332,                0.93943,                0.99705,                  0.995,                0.84162,                0.69598,                0.44542,                0.97609,             0.00035662,             0.00035662,             0.00035662
                     79,                0.43558,                0.61868,                0.91784,                0.97459,                0.95158,                  0.995,                0.85287,                0.66918,                0.44986,                0.96823,             0.00035505,             0.00035505,             0.00035505
                     80,                0.42433,                0.58987,                0.91486,                0.93943,                0.99739,                  0.995,                0.82931,                0.77726,                0.48003,                 1.0361,             0.00035348,             0.00035348,             0.00035348
                     81,                0.40895,                0.54339,                0.90509,                0.99551,                0.97753,                  0.995,                0.80422,                0.81282,                0.42159,                 1.0675,             0.00035191,             0.00035191,             0.00035191
                     82,                0.43189,                0.57998,                0.90385,                0.99612,                0.98872,                  0.995,                0.81547,                0.76981,                0.39761,                 1.0571,             0.00035034,             0.00035034,             0.00035034
                     83,                0.42654,                0.63382,                 0.9246,                0.97072,                  0.975,                0.98905,                0.78816,                0.82752,                0.49272,                 1.1042,             0.00034877,             0.00034877,             0.00034877
                     84,                0.41602,                0.59308,                0.90917,                0.93586,                0.97265,                0.94468,                 0.7707,                 0.7958,                0.66161,                 1.0969,             0.00034719,             0.00034719,             0.00034719
                     85,                0.43376,                0.55217,                0.90025,                  0.951,                   0.95,                0.93172,                0.75397,                0.82618,                0.73211,                 1.1109,             0.00034562,             0.00034562,             0.00034562
                     86,                0.41245,                0.57772,                0.89804,                0.94417,                   0.95,                0.93131,                0.63277,                 1.1531,                 0.8129,                 1.3252,             0.00034405,             0.00034405,             0.00034405
                     87,                0.40157,                0.56425,                0.89381,                0.94595,                   0.95,                0.94925,                0.58594,                 1.3568,                0.85131,                 1.5209,             0.00034248,             0.00034248,             0.00034248
                     88,                0.43508,                0.57375,                0.90312,                 0.9514,                   0.95,                0.99024,                0.77562,                0.94789,                0.65902,                   1.15,             0.00034091,             0.00034091,             0.00034091
                     89,                0.45715,                0.61515,                0.92689,                0.93596,                  0.973,                0.98515,                0.78186,                0.88575,                0.71897,                 1.1135,             0.00033934,             0.00033934,             0.00033934
                     90,                0.43969,                0.57227,                0.90916,                0.94826,                   0.95,                0.97444,                0.73146,                 1.0211,                0.84592,                 1.1677,             0.00033777,             0.00033777,             0.00033777
                     91,                 0.4147,                0.54071,                 0.8987,                 0.9512,                   0.95,                0.94739,                0.72353,                0.93991,                0.78092,                 1.1243,              0.0003362,              0.0003362,              0.0003362
                     92,                 0.4099,                 0.5306,                 0.8975,                0.95171,                   0.95,                0.92825,                0.65761,                 1.0746,                 0.8503,                 1.2177,             0.00033463,             0.00033463,             0.00033463
                     93,                0.43414,                0.53225,                0.89974,                0.95179,                   0.95,                0.93472,                0.64972,                 1.1491,                0.79046,                 1.2848,             0.00033306,             0.00033306,             0.00033306
                     94,                0.39604,                0.53573,                0.88912,                0.95035,                   0.95,                 0.9497,                0.77457,                0.75518,                0.61628,                 1.0217,             0.00033149,             0.00033149,             0.00033149
                     95,                0.43188,                0.53346,                0.90974,                0.93628,                0.97347,                0.97238,                0.83894,                 0.6418,                0.54603,                0.95839,             0.00032992,             0.00032992,             0.00032992
                     96,                0.42419,                 0.5709,                0.90562,                0.93618,                 0.9735,                0.96805,                0.82331,                 0.6871,                0.57705,                0.97834,             0.00032834,             0.00032834,             0.00032834
                     97,                0.38693,                0.50235,                0.89386,                0.95192,                   0.95,                0.96449,                0.79355,                0.81038,                0.64371,                 1.0497,             0.00032677,             0.00032677,             0.00032677
                     98,                0.39491,                0.52194,                  0.891,                0.95437,                  0.951,                 0.9819,                 0.7766,                0.88717,                0.63539,                 1.0986,              0.0003252,              0.0003252,              0.0003252
                     99,                0.39657,                0.49746,                0.89241,                0.93273,                 0.9884,                0.97952,                0.71164,                   1.03,                0.60152,                 1.1885,             0.00032363,             0.00032363,             0.00032363
                    100,                0.38589,                0.51648,                0.87694,                 0.9275,                0.98953,                0.99143,                 0.7267,                 1.0021,                0.57787,                  1.165,             0.00032206,             0.00032206,             0.00032206
                    101,                0.39895,                 0.5082,                0.90127,                0.93496,                0.99311,                0.99262,                0.75402,                0.93724,                0.54727,                 1.1445,             0.00032049,             0.00032049,             0.00032049
                    102,                0.42364,                0.48962,                0.89733,                0.93599,                 0.9949,                  0.995,                0.77431,                0.85992,                0.52035,                 1.0796,             0.00031892,             0.00031892,             0.00031892
                    103,                0.39359,                0.49723,                0.88954,                0.93645,                0.99428,                0.99381,                 0.8213,                0.79833,                0.49285,                 1.0379,             0.00031735,             0.00031735,             0.00031735
                    104,                0.42642,                0.53266,                0.90357,                0.96762,                0.95166,                0.99143,                0.78259,                0.78956,                0.53506,                 1.0527,             0.00031578,             0.00031578,             0.00031578
                    105,                 0.4109,                0.53252,                0.90133,                0.93611,                0.97467,                0.99262,                0.84623,                0.70585,                0.52207,                0.99217,             0.00031421,             0.00031421,             0.00031421
                    106,                0.40008,                 0.5277,                0.90598,                0.93605,                 0.9745,                0.99024,                0.83746,                0.74045,                0.57026,                 1.0212,             0.00031264,             0.00031264,             0.00031264
                    107,                0.41682,                0.51665,                0.89271,                0.93616,                0.98748,                0.97238,                 0.8043,                0.77309,                0.55428,                 1.0484,             0.00031107,             0.00031107,             0.00031107
                    108,                0.41458,                 0.5055,                0.89714,                0.93636,                0.99043,                0.97131,                0.82269,                0.72356,                0.53194,                  1.009,              0.0003095,              0.0003095,              0.0003095
                    109,                0.38773,                0.49818,                0.88144,                0.93635,                0.99527,                0.97131,                0.82429,                 0.6984,                0.52727,                 0.9973,             0.00030792,             0.00030792,             0.00030792
                    110,                0.44143,                0.51328,                0.88992,                0.93794,                0.99782,                0.97131,                0.82259,                0.68631,                0.51372,                0.98809,             0.00030635,             0.00030635,             0.00030635
                    111,                0.42845,                0.51914,                0.91318,                0.97234,                 0.9768,                0.97238,                0.81721,                0.70924,                0.47148,                0.99565,             0.00030478,             0.00030478,             0.00030478
                    112,                0.43146,                0.51977,                0.89909,                0.95901,                  0.975,                0.99024,                0.82046,                0.75159,                0.45283,                 1.0158,             0.00030321,             0.00030321,             0.00030321
                    113,                0.40522,                0.51587,                0.88265,                0.96585,                0.99787,                0.99262,                0.82932,                 0.7739,                0.45881,                 1.0348,             0.00030164,             0.00030164,             0.00030164
                    114,                0.42324,                 0.5109,                0.89835,                0.99172,                0.97668,                  0.995,                0.69641,                 1.0809,                0.55919,                 1.2528,             0.00030007,             0.00030007,             0.00030007
                    115,                0.40635,                0.47067,                0.89049,                0.99559,                0.97767,                  0.995,                0.58699,                 1.5273,                0.59937,                  1.678,              0.0002985,              0.0002985,              0.0002985
                    116,                 0.3964,                0.49895,                0.88287,                0.98902,                0.97487,                  0.995,                0.59132,                 1.5525,                0.61176,                 1.7149,             0.00029693,             0.00029693,             0.00029693
                    117,                0.38704,                0.47093,                0.89596,                0.99346,                0.96634,                  0.995,                0.58335,                 1.5879,                0.69618,                 1.7257,             0.00029536,             0.00029536,             0.00029536
                    118,                0.40684,                 0.4723,                0.89883,                0.99407,                0.96807,                  0.995,                 0.5656,                 1.6267,                0.77744,                 1.7323,             0.00029379,             0.00029379,             0.00029379
                    119,                0.44392,                0.50879,                0.91199,                0.98048,                0.97662,                  0.995,                0.60357,                 1.4402,                0.75899,                 1.5557,             0.00029222,             0.00029222,             0.00029222
                    120,                 0.3966,                0.44716,                0.89128,                0.99067,                0.97649,                  0.995,                0.66446,                 1.2773,                0.62395,                 1.4381,             0.00029065,             0.00029065,             0.00029065
                    121,                0.37881,                0.46057,                 0.8878,                0.95584,                0.99756,                  0.995,                0.68563,                 1.2155,                0.58285,                 1.3583,             0.00028907,             0.00028907,             0.00028907
                    122,                0.38237,                0.46851,                0.87742,                0.97007,                  0.975,                0.99381,                0.73681,                 1.0198,                0.60225,                 1.1933,              0.0002875,              0.0002875,              0.0002875
                    123,                0.40872,                0.50377,                0.90855,                0.96794,                  0.975,                0.99024,                0.72804,                 1.0299,                0.62018,                 1.2116,             0.00028593,             0.00028593,             0.00028593
                    124,                0.39804,                0.44914,                0.90388,                 0.9641,                  0.975,                0.98558,                0.66563,                 1.1742,                0.71175,                 1.3412,             0.00028436,             0.00028436,             0.00028436
                    125,                0.39579,                0.44951,                 0.8941,                0.95198,                0.97247,                0.99024,                0.66633,                 1.2133,                0.75423,                 1.4105,             0.00028279,             0.00028279,             0.00028279
                    126,                0.36748,                0.42313,                0.87203,                  0.936,                0.97546,                0.99024,                0.68471,                 1.1651,                0.76313,                 1.3546,             0.00028122,             0.00028122,             0.00028122
                    127,                 0.3804,                0.46104,                0.87401,                0.93591,                0.97425,                  0.995,                0.72322,                 1.0731,                0.68042,                 1.2574,             0.00027965,             0.00027965,             0.00027965
                    128,                0.40663,                0.43353,                0.89276,                0.93589,                 0.9741,                  0.995,                0.77913,                0.93726,                0.61449,                 1.1413,             0.00027808,             0.00027808,             0.00027808
                    129,                0.36499,                0.42635,                0.86954,                0.93607,                0.98484,                0.99381,                0.78037,                 0.9474,                0.57296,                 1.1496,             0.00027651,             0.00027651,             0.00027651
